,Gender,Ever_Married,Age,Graduated,Profession,Income,Work_Experience,Spending_Score,Family_Size,clusterNo
0,0,0.0,22,0.0,1.0,834,1.0,1,4.0,0
1,1,1.0,38,1.0,2.0,1597,3.0,2,3.0,2
2,1,1.0,67,1.0,2.0,1771,1.0,1,1.0,2
3,0,1.0,67,1.0,3.0,1093,0.0,3,2.0,0
4,1,1.0,40,1.0,4.0,634,3.0,3,6.0,1
5,0,1.0,56,0.0,5.0,628,0.0,2,2.0,1
6,0,0.0,32,1.0,1.0,875,1.0,1,3.0,0
7,1,0.0,33,1.0,1.0,890,1.0,1,3.0,0
8,1,1.0,61,1.0,2.0,1678,0.0,1,3.0,2
9,1,1.0,55,1.0,5.0,572,1.0,2,4.0,1
10,1,0.0,26,1.0,2.0,1739,1.0,1,3.0,2
11,0,0.0,19,0.0,1.0,836,4.0,1,4.0,0
12,1,0.0,19,0.0,6.0,1421,0.0,1,3.0,3
13,0,1.0,70,0.0,3.0,1003,3.0,1,1.0,0
14,1,1.0,58,0.0,7.0,1375,0.0,1,1.0,3
15,1,0.0,41,0.0,1.0,890,1.0,1,2.0,0
16,1,0.0,32,0.0,8.0,557,9.0,1,5.0,1
17,0,0.0,31,0.0,1.0,881,1.0,1,6.0,0
18,0,1.0,58,1.0,4.0,739,1.0,2,4.0,1
19,1,1.0,79,1.0,5.0,582,0.0,3,1.0,1
20,0,1.0,49,1.0,8.0,527,12.0,1,1.0,1
21,1,0.0,18,0.0,1.0,804,3.0,1,4.0,0
22,0,1.0,33,1.0,5.0,539,13.0,1,2.0,1
23,1,0.0,36,1.0,5.0,664,5.0,1,2.0,1
25,0,1.0,56,0.0,5.0,561,1.0,2,3.0,1
26,0,0.0,31,0.0,1.0,869,9.0,1,8.0,0
27,0,1.0,49,1.0,5.0,584,1.0,2,3.0,1
28,0,0.0,35,1.0,5.0,507,0.0,1,1.0,1
29,1,0.0,35,0.0,5.0,523,5.0,1,4.0,1
30,1,1.0,45,1.0,5.0,699,0.0,1,3.0,1
31,1,1.0,42,0.0,7.0,1308,1.0,1,2.0,3
32,0,0.0,19,0.0,1.0,862,1.0,1,3.0,0
33,0,0.0,26,0.0,8.0,573,9.0,1,3.0,1
34,1,1.0,83,0.0,3.0,1009,1.0,3,2.0,0
35,1,0.0,27,1.0,1.0,811,3.0,1,4.0,0
36,0,0.0,32,0.0,7.0,1375,5.0,1,1.0,3
37,1,1.0,28,0.0,1.0,840,1.0,2,5.0,0
38,1,1.0,28,1.0,5.0,685,8.0,1,2.0,1
39,0,1.0,56,1.0,5.0,508,3.0,2,2.0,1
40,1,0.0,47,1.0,5.0,664,4.0,1,1.0,1
41,1,0.0,22,0.0,1.0,895,0.0,1,2.0,0
42,1,0.0,27,1.0,5.0,545,14.0,1,3.0,1
43,1,1.0,49,1.0,5.0,683,1.0,1,2.0,1
44,0,1.0,40,0.0,2.0,1693,8.0,1,1.0,2
45,1,1.0,79,0.0,3.0,1092,3.0,3,2.0,0
46,0,1.0,41,1.0,5.0,516,0.0,2,4.0,1
47,1,0.0,29,1.0,1.0,886,3.0,1,1.0,0
48,0,0.0,19,0.0,1.0,838,0.0,1,4.0,0
49,1,0.0,45,1.0,2.0,1584,1.0,1,1.0,2
50,1,1.0,61,0.0,5.0,586,1.0,2,2.0,1
51,1,1.0,36,1.0,5.0,694,1.0,2,2.0,1
52,0,1.0,40,1.0,5.0,554,1.0,1,1.0,1
53,1,1.0,57,1.0,4.0,750,0.0,2,2.0,1
54,0,1.0,76,0.0,9.0,783,1.0,1,1.0,0
55,0,1.0,32,1.0,5.0,675,14.0,2,2.0,1
56,0,0.0,25,1.0,1.0,886,9.0,1,4.0,0
58,1,1.0,45,1.0,5.0,685,1.0,2,3.0,1
59,0,1.0,72,1.0,3.0,1038,1.0,1,3.0,0
60,0,1.0,48,1.0,5.0,698,0.0,2,2.0,1
61,0,1.0,55,1.0,5.0,520,9.0,2,2.0,1
62,0,1.0,74,1.0,3.0,1048,0.0,3,3.0,0
63,0,1.0,56,1.0,3.0,1063,1.0,3,2.0,0
64,0,1.0,59,1.0,3.0,1028,7.0,3,2.0,0
65,0,0.0,25,1.0,4.0,652,0.0,1,2.0,1
66,0,1.0,31,1.0,7.0,1342,0.0,2,2.0,3
67,0,0.0,27,0.0,5.0,694,8.0,1,4.0,1
68,0,1.0,57,1.0,5.0,549,0.0,2,4.0,1
69,1,1.0,39,1.0,8.0,600,3.0,3,2.0,1
70,0,1.0,27,1.0,1.0,826,8.0,1,2.0,0
71,1,1.0,51,1.0,4.0,696,8.0,2,2.0,1
72,1,1.0,47,0.0,5.0,525,0.0,2,5.0,1
73,1,0.0,33,0.0,1.0,819,8.0,1,4.0,0
74,0,1.0,56,1.0,5.0,506,0.0,2,4.0,1
75,1,0.0,33,0.0,8.0,542,0.0,1,3.0,1
76,1,0.0,36,1.0,7.0,1429,0.0,1,2.0,3
77,0,1.0,51,0.0,5.0,700,4.0,1,3.0,1
78,0,1.0,45,1.0,2.0,1605,2.0,2,2.0,2
80,0,0.0,30,0.0,1.0,825,0.0,1,4.0,0
81,1,0.0,26,0.0,1.0,882,6.0,1,3.0,0
82,0,1.0,63,1.0,5.0,577,8.0,1,1.0,1
83,0,1.0,35,0.0,4.0,744,8.0,2,4.0,1
84,1,0.0,19,0.0,9.0,740,1.0,1,3.0,1
85,0,0.0,32,0.0,1.0,827,7.0,1,5.0,0
