ID,Gender,Ever_Married,Age,Graduated,Profession,Income,Work_Experience,Spending_Score,Family_Size,Var_1,Segmentation
462809,Male,No,22,No,Healthcare,834,1,Low,4,Cat_4,D
462643,Female,Yes,38,Yes,Engineer,1597,,Average,3,Cat_4,A
466315,Female,Yes,67,Yes,Engineer,1771,1,Low,1,Cat_6,B
461735,Male,Yes,67,Yes,Lawyer,1093,0,High,2,Cat_6,B
462669,Female,Yes,40,Yes,Entertainment,634,,High,6,Cat_6,A
461319,Male,Yes,56,No,Artist,628,0,Average,2,Cat_6,C
460156,Male,No,32,Yes,Healthcare,875,1,Low,3,Cat_6,C
464347,Female,No,33,Yes,Healthcare,890,1,Low,3,Cat_6,D
465015,Female,Yes,61,Yes,Engineer,1678,0,Low,3,Cat_7,D
465176,Female,Yes,55,Yes,Artist,572,1,Average,4,Cat_6,C
464041,Female,No,26,Yes,Engineer,1739,1,Low,3,Cat_6,A
464942,Male,No,19,No,Healthcare,836,4,Low,4,Cat_4,D
461230,Female,No,19,No,Executive,1421,0,Low,,Cat_3,D
459573,Male,Yes,70,No,Lawyer,1003,,Low,1,Cat_6,A
460849,Female,Yes,58,No,Doctor,1375,0,Low,1,Cat_3,B
460563,Female,No,41,No,Healthcare,890,1,Low,2,Cat_1,C
466865,Female,No,32,No,Homemaker,557,9,Low,5,Cat_3,D
461644,Male,No,31,No,Healthcare,881,1,Low,6,Cat_6,B
466772,Male,Yes,58,Yes,Entertainment,739,1,Average,4,Cat_6,B
464291,Female,Yes,79,Yes,Artist,582,0,High,1,Cat_6,C
466084,Male,Yes,49,Yes,Homemaker,527,12,Low,1,Cat_3,A
459675,Female,No,18,No,Healthcare,804,3,Low,4,Cat_6,D
465602,Male,Yes,33,Yes,Artist,539,13,Low,2,Cat_3,A
459168,Female,No,36,Yes,Artist,664,5,Low,2,Cat_6,B
461021,Female,,58,No,Executive,1553,1,Average,3,Cat_3,B
465083,Male,Yes,56,No,Artist,561,1,Average,3,Cat_6,C
467604,Male,No,31,No,Healthcare,869,9,Low,8,Cat_4,A
459717,Male,Yes,49,Yes,Artist,584,1,Average,3,Cat_6,C
465882,Male,No,35,Yes,Artist,507,0,Low,1,Cat_6,B
461996,Female,No,35,No,Artist,523,5,Low,4,Cat_6,C
463331,Female,Yes,45,Yes,Artist,699,0,Low,3,Cat_6,C
462216,Female,Yes,42,No,Doctor,1308,1,Low,2,Cat_4,A
462454,Male,No,19,No,Healthcare,862,1,Low,3,Cat_2,D
467010,Male,No,26,No,Homemaker,573,9,Low,,Cat_6,D
459861,Female,Yes,83,No,Lawyer,1009,1,High,2,Cat_6,D
467917,Female,No,27,Yes,Healthcare,811,3,Low,4,Cat_1,D
465572,Male,No,32,No,Doctor,1375,5,Low,1,Cat_4,D
460593,Female,Yes,28,No,Healthcare,840,1,Average,5,Cat_3,D
465891,Female,Yes,28,Yes,Artist,685,8,Low,2,Cat_6,A
467442,Male,Yes,56,Yes,Artist,508,,Average,2,Cat_6,C
462044,Female,No,47,Yes,Artist,664,4,Low,1,Cat_6,B
465686,Female,No,22,No,Healthcare,895,0,Low,2,Cat_6,D
464590,Female,No,27,Yes,Artist,545,14,Low,3,Cat_6,A
466006,Female,Yes,49,Yes,Artist,683,1,Low,2,,C
466152,Male,Yes,40,No,Engineer,1693,8,Low,1,Cat_6,A
463156,Female,Yes,79,No,Lawyer,1092,,High,2,Cat_6,A
465729,Male,Yes,41,Yes,Artist,516,0,Average,4,Cat_4,B
